Fecha,Anio,Mes,Estacion,Temperatura,Humedad,BrilloSolar
2021-06-01,2021,6,2306517,19.890287399291992,76.56258392333984,163.44638061523438
2021-07-01,2021,7,2306517,23.762102127075195,65.38801574707031,195.90943908691406
2021-08-01,2021,8,2306517,23.41764259338379,63.74187469482422,193.784912109375
2021-09-01,2021,9,2306517,23.826526641845703,71.38372039794922,180.2393341064453
2021-10-01,2021,10,2306517,22.574138641357422,79.03449249267578,147.37551879882812
2021-11-01,2021,11,2306517,22.50354766845703,82.1669692993164,113.95748138427734
2021-12-01,2021,12,2306517,21.79253578186035,82.1767578125,141.90708923339844
2021-01-01,2021,1,2306516,21.744091033935547,77.31167602539062,141.6174774169922
2021-02-01,2021,2,2306516,21.60955810546875,78.3902816772461,111.6008529663086
2021-03-01,2021,3,2306516,19.796768188476562,68.9267349243164,130.7798309326172
2021-04-01,2021,4,2306516,18.555164337158203,66.34718322753906,163.22589111328125
2021-05-01,2021,5,2306516,15.345884323120117,71.72731018066406,133.74813842773438
2021-06-01,2021,6,2306516,20.056615829467773,65.46681213378906,145.2555694580078
2021-07-01,2021,7,2306516,19.84644317626953,54.21775436401367,97.94796752929688
2021-08-01,2021,8,2306516,13.64830493927002,55.03864288330078,115.33602905273438
2021-09-01,2021,9,2306516,18.476411819458008,61.15597915649414,105.99118041992188
2021-10-01,2021,10,2306516,17.163345336914062,63.505889892578125,115.760986328125
2021-11-01,2021,11,2306516,19.866472244262695,77.99340057373047,109.9927749633789
2021-12-01,2021,12,2306516,20.759204864501953,71.13074493408203,137.6785430908203
